项目,设备,工站/部件/站位,规格/要求,调试步骤,调试工具,注意事项,ppt文件,PPT页面
Boston,Loader,FOUP 开门器对接,开门器开启时间 ≤ 8 s；门密封间隙 ≤ 0.3 mm,"1. 装载标准 FOUP（300mm 晶圆载具），运行 “Open Door” 命令。
2. 用秒表记录开门时间 ≤ 8 s。
3. 关门后用塞尺检查门与盒体密封间隙，应 ≤ 0.3 mm。
4. 若密封超差，调整开门器 latch 钩位置（前后各 ±0.5 mm 微调）。
5. 真空度测试：抽到 -50 kPa 维持 2 min，压降 ≤ 5 kPa。",标准 FOUP；秒表；塞尺；真空表,FOUP 内部气氛对晶圆良率影响大；密封性差会引入水汽与颗粒，必须严格控制。,setup_Loader_foup.pptx,7
Kinneret,Aligner,UV 固化光源能量,370 nm 波段 ≥ 80 mW/cm²；20 s 内累计能量 ≥ 1500 mJ/cm²,"1. 把 UV 能量计 EIT UVICURE Plus II 放在固化位中心。
2. 启动单次固化程序，记录峰值功率与累计能量。
3. 峰值 < 80 mW/cm²：清洁 UV 灯罩玻璃（无尘布 + IPA），或更换灯管。
4. 灯管寿命 ≥ 1000 h 强制更换，无论性能。
5. 记录《UV 灯使用小时表》。",EIT UVICURE Plus II；无尘布；IPA；备件灯管,UV 灯启动后 5 min 内能量不稳定，需预热再测；操作必须戴 UV 防护镜。,setup_Aligner_uv.pptx,10
Sonora,FTU,ATE 校准源稳定性,参考电压 5.0000 V ± 0.0005；漂移 ≤ 5 ppm / 8 h,"1. 把 ATE 校准源连接 Keysight 3458A 8.5 位万用表。
2. 每 5 min 记录一次电压，连续 8 h。
3. 绘制趋势图，计算漂移 = (max-min)/标称值。
4. > 5 ppm 需更换基准芯片或送修。
5. 同步检查环境温度波动 ≤ ±1 °C。",Keysight 3458A 万用表；环境温湿度记录仪,基准源是 ATE 所有测量的根基，超标直接影响 ppm 级测试精度，必须严格管控。,setup_FTU_ref_voltage.pptx,6
MEM,Stage,平台运动噪声,X/Y 轴 80% 速度下 LpA ≤ 70 dB(A)；> 75 dB 需检修,"1. 在距设备 1 m 处放置声级计 B&K 2250 ，麦克风朝向设备。
2. 设备运行 X 轴往返 10 次，记录峰值与等效声级。
3. > 70 dB：检查丝杆润滑、轴承磨损、导轨清洁。
4. 加注润滑脂或更换轴承后复测。
5. 噪声异常通常是轴承失效早期征兆，应同步分析振动。",B&K 2250 声级计；振动分析仪 SKF CMVA75；润滑脂,设备噪声超标可能是故障早期信号，不可仅以人耳判断；噪声测试应在生产间静音段进行。,setup_Stage_noise.pptx,5
PDX,Heater,加热膜电阻,冷态电阻 50 ± 2 Ω；绝缘电阻 ≥ 100 MΩ @ 500 V DC,"1. 断电至少 30 min，确保加热膜冷却至室温。
2. 用四线万用表测加热膜电阻，记录 R 值。
3. 用 500V 兆欧表测加热膜对地绝缘电阻 ≥ 100 MΩ。
4. 阻值偏离 ±2 Ω 或绝缘 < 100 MΩ 必须更换加热膜。
5. 更换后必须做 hi-pot 测试，1500 V AC 1 min 不击穿。",Fluke 1587 兆欧表；四线万用表；hi-pot 测试仪,加热膜击穿后泄漏电流大，存在触电风险；测试必须断电并挂牌操作。,setup_Heater_film.pptx,2
所有项目,SensorModule,软件 zero offset 备份,每台机的 offset 文件须备份至中央服务器；丢失影响产品报废,"1. 在传感器控制软件 → Setting → Export Offset → 选择保存路径 \\fs\sensor_backup\。
2. 文件命名 <equipID>_offset_<YYYYMMDD>.bin。
3. 每季度做一次差异比对，发现异常立即追溯。
4. 服务器自动按月归档保留 3 年。
5. 设备大修或更换主板后必须重新导入并验证。",传感器配套软件；中央备份系统；diff 比对工具,offset 文件丢失须重新做整套校准，耗时长；务必每次维护后立即备份。,setup_SensorModule_backup.pptx,1
Yucatan,Aligner,下视相机背光均匀度,背光均匀度 ≥ 95%；中心-边缘差 ≤ 5%,"1. 把空白白色测试片放置在工作位。
2. 启用最大背光强度，相机抓图保存为 BMP。
3. 用 MATLAB 脚本 brightness_uniformity.m 计算 9 区域亮度。
4. 均匀度 = 1 - (max-min)/max；≥ 95% 合格。
5. 不合格：清洁导光板、扩散膜，必要时更换 LED 阵列。",MATLAB；测试白片；备件扩散膜,导光板易划伤，清洁仅可用气吹与无尘布湿擦；划痕会形成永久亮斑。,setup_Aligner_backlight.pptx,8
MHK,Pump,干泵振动监测,RMS 速度 ≤ 4.5 mm/s；峭度因子 < 5,"1. 把振动传感器 SKF CMSS 2200 吸附在泵外壳侧面。
2. 在满负荷下采集 60 s 数据，导出至 SKF Aptitude Analyst。
3. 计算 RMS 速度与峭度；超标按 ISO 10816-7 判定。
4. 趋势记录至 6 个月以上可预测轴承故障。
5. > 7 mm/s 立即停机检修。",SKF CMSS 2200；Aptitude Analyst 软件,振动数据需在稳定工况下采集，启动/停机过程不算；建立基线后做趋势监测更有价值。,setup_Pump_vibration.pptx,11
Boston,Conveyor,防卡滚轴润滑,滚轴回转扭矩 ≤ 0.05 N·m；润滑周期 6 个月,"1. 关停设备并锁定。
2. 拆下滚轴防护盖，目视检查是否积尘。
3. 在轴端轴承位注入锂基脂 SKF LGEP 2，每点 1–2 mL。
4. 用扭力扳手测试滚轴回转扭矩，应 ≤ 0.05 N·m。
5. 多余润滑脂用无尘布擦净避免污染产品。",SKF LGEP 2 锂基脂；注脂枪；扭力扳手 0–0.5 N·m,过度润滑反而吸附粉尘加速磨损；坚持 “少量多次” 原则。,setup_Conveyor_lube.pptx,12
PDX,Loader,机械限位间隙,硬限位距软限位 ≥ 2 mm；硬限位距机械极限 ≥ 5 mm,"1. 用塞尺测各轴软限位至硬限位距离。
2. 测硬限位至机械极限距离。
3. 若 < 标准，调整限位开关或硬挡块位置。
4. 验证：手动触发硬限位，软件应停机；强制超越硬限位需机械挡块阻挡。
5. 记录入档案。",塞尺；六角扳手；限位开关备件,限位间隙不足易导致机械撞击；过大易冲过软限位。,setup_Loader_limit.pptx,4
Kinneret,Stage,直驱电机温升,满载 1 h 温升 ≤ 40 °C；表面温度 ≤ 65 °C,"1. 满载运行 1 h，用 PT100 贴片测电机壳体温度。
2. 记录 0/10/20/30/40/50/60 min 温度曲线。
3. 温升 > 40 °C：检查冷却风扇/水路、电流偏置、负载惯量比。
4. 调整 servo current limit 或加强冷却。
5. 验证：复测温升达到标准。",PT100 贴片；多通道温度计；散热风扇备件,电机超温会缩短永磁体寿命，损失推力；务必维持温度在合理范围。,setup_Stage_motor_temp.pptx,3
Sonora,Heater,氮气吹扫密封性,加热腔正压 50 Pa；漏率 ≤ 5 Pa/min,"1. 关闭排气口，开氮气流量 10 slm 建立正压。
2. 用微压表测腔内压力达到 50 Pa 后关闭氮气。
3. 计时观察压力衰减速率；> 5 Pa/min 检漏。
4. 用泡沫剂涂抹门密封、管路接头查漏点。
5. 更换密封圈或紧固接头后复测。",Setra 264 微压表；泡沫剂；密封圈备件,加热腔无氮气保护时产品易氧化变色；密封性是工艺质量关键。,setup_Heater_n2_purge.pptx,6
MEM,FTU,HSS 高速串行接口眼图,眼图开度 > 0.4 UI；jitter (pp) < 0.3 UI,"1. 把示波器 Tek MSO64B 通过 SMA 接 DUT TX 输出。
2. 加载 PCIe Gen3 8GT/s 标准模板。
3. 运行 eye diagram 测试 1 min；测眼高、眼宽、TJ、RJ。
4. 不合格：检查 PCB 阻抗、连接器氧化、电源纹波。
5. 记录测试报告并贴在设备档案。",Tek MSO64B；SMA 线；PCIe 模板,高速信号测试线缆质量极关键；不同长度/厂家线缆显著影响读数。,setup_FTU_eye_diagram.pptx,8
Yucatan,SensorModule,距离传感器 noise floor,"噪声底 ≤ 0.5 μm (1σ, 1 ms 采样)","1. 把传感器对准固定平面，静置 10 min 待温度稳定。
2. 以 1 ms 采样率采集 10000 个点。
3. 计算 1σ 标准差，应 ≤ 0.5 μm。
4. 超标：检查接地、屏蔽、电源纹波；启用传感器内部 averaging。
5. 记录至 sensor performance log。",数据采集卡 NI-9215；MATLAB 噪声分析脚本,测试期间须避免人员走动和空气流扰，否则测得的更多是环境而非传感器噪声。,setup_SensorModule_noise.pptx,5
MHK,Aligner,拼接图像偏移,拼接接缝偏差 ≤ 2 px；亮度跳变 ≤ 3 ADU,"1. 让相机扫描标准网格板，软件自动拼接。
2. 用 ImageJ 测拼接处行列偏差；> 2 px 在 stitching 参数中增大 overlap 区域。
3. 亮度跳变 > 3 ADU：启用 flat-field correction（FFC）。
4. 更新 FFC 文件并验证拼接一致。
5. 重做整片扫描验证。",ImageJ；标准网格板；FFC 软件模块,拼接质量直接影响大视场缺陷检出率；建议固定光源条件后再做 FFC。,setup_Aligner_stitch.pptx,14
Boston,Pump,泵进气过滤器维护,积尘量记录；ΔP 上升 30% 即换,"1. 测当前 ΔP 与上次 PM 时的基线对比。
2. 若上升 > 30%，更换 HEPA H13 滤芯。
3. 换芯过程戴 N95 口罩与手套，旧芯入危废袋封口。
4. 装新芯后做 PAO 检漏 ≤ 0.01% 通过。
5. 记录新基线 ΔP。",差压计；HEPA H13 滤芯；PAO 检漏仪；N95 口罩,过滤器跨级维护会让脏物进入泵腔加速磨损；PAO 检漏不通过严禁恢复使用。,setup_Pump_intake.pptx,10
所有项目,Heater,PM 后空载烧机,空载 8 h 无报警；最高温度漂移 ≤ ±1 °C,"1. PM 完成后启动空载烧机程序，温度设至工艺常用点。
2. 每 30 min 自动记录温度与报警。
3. 8 h 完成后导出 CSV 趋势图，检查温度漂移。
4. 任何报警 → 暂停放行，查根因。
5. 烧机合格后提交 release certificate。",烧机程序；数据采集脚本；放行单,未经烧机直接上线可能出现间歇性故障；时间不可压缩。,setup_Heater_burnin.pptx,13
PDX,FTU,继电器寿命管理,机械寿命 100 万次；接触寿命由 ATE 累计；70% 寿命预警,"1. ATE 软件实时累计每个继电器动作次数。
2. 达到 70 万次系统自动弹出 PM 提示。
3. 更换继电器后软件 reset 该通道计数。
4. 每次更换记录批号与日期。
5. 失效继电器入故障池分析。",ATE 软件；继电器备件 OMRON G6K-2F；故障分析池,继电器疲劳失效会引起间歇性测试不良，提前更换比追故障更经济。,setup_FTU_relay.pptx,15
Kinneret,Conveyor,上料推杆气缸,推力 50 ± 3 N；伸出速度 200 ± 20 mm/s,"1. 测力片夹在推杆与挡板之间，启动气缸，读推力。
2. 推力偏差大调节调压阀；速度偏差大调速度调节阀。
3. 反复 50 次循环，无卡滞、无漏气。
4. 气缸密封圈每 2 年更换一次。
5. 维护后做 100 件试运行无 NG 即放行。",测力片；秒表；调压/调速阀；气缸密封圈,气缸调试时手指远离运动路径；推力过大易压坏产品，过小易掉料。,setup_Conveyor_cylinder.pptx,2
MEM,Loader,机械手末端校准,TCP 重复定位 ≤ ±0.1 mm；姿态偏差 ≤ ±0.5°,"1. 安装标定针（尖锥φ1mm），与基准针对针。
2. 4 点示教法标 TCP；软件自动计算。
3. 跑 10 次回零检验重复性。
4. 失败：松开末端法兰螺钉重新装夹，确认无松动。
5. 校准结果备份至 robot.cfg。",标定针组；机械手控制器；备份脚本,TCP 不准会导致全部 pick/place 偏移；任何末端更换后必须重做。,setup_Loader_robot_tcp.pptx,9
